Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,reviewer_nationality,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,review
3 Boulevard Saint Michel 5th arr 75005 Paris France,120,10/25/2015,8.0,Royal Saint Michel, Lebanon ,3,1193,0,1,9.6,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 3 nights ']",648 day,48.8528364,2.3440803, l ascenseur No Positive
Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,8/27/2015,7.8,Holiday Inn London Kensington, Australia ,18,5945,56,2,9.6,"[' Leisure trip ', ' Solo traveler ', ' Executive Double Room ', ' Stayed 11 nights ']",707 day,51.499981,-0.1928791, Having to log in each day with a new login and password to use the wifi   The Kensington Close Hotel was in a fantastic location 5 mins from High St Kensington station Room was extremely clean with a very comfortable bed Email communication with the hotel was prompt and helpful Staff extremely helpful and polite Both still and sparkling bottled water provided free of charge and replenished daily Good wifi 
Via Tarchetti 2 Milan City Center 20121 Milan Italy,436,9/18/2016,8.4,NH Milano Touring, Qatar ,24,4568,6,2,7.1,"[' Leisure trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 7 nights ']",319 day,45.4769167,9.196665, the TV is crazy the hotel host a lot of nationalities and all what they have it italian and 2 english news channels  in general it was ok
Avinguda Catedral 7 Ciutat Vella 08002 Barcelona Spain,170,2/16/2016,8.9,Col n Hotel Barcelona, Ireland ,3,1300,37,3,9.2,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",534 day,41.3849613,2.1756666, No complaints  Excellent location very helpful staff We had a beautiful room with a large balcony and really enjoyed our short stay We have stayed at the hotel many times and we will definetly be back again 
Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,6/5/2016,7.8,Holiday Inn London Kensington, United Kingdom ,45,5945,12,12,8.8,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']",424 day,51.499981,-0.1928791, We booked an executive room with super king bed which took up most of the room Only two teabags and 4 little pots of milk For two of us Bar drinks expensive 22 for vodka and lime pot tea and small glass cider   Comfy beds and pillows great breakfast Great central location for Kensington
Getreidemarkt 5 06 Mariahilf 1060 Vienna Austria,73,10/27/2016,8.5,Mercure Secession Wien, Switzerland ,0,753,5,15,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 4 nights ']",280 day,48.200561,16.3647063,No Negative  High quality breakfast buffet
No 1 Seething Lane City of London London EC3N 4AX United Kingdom,623,12/27/2015,9.0,Apex City Of London Hotel, United Kingdom ,0,2750,13,1,9.6,"[' Leisure trip ', ' Couple ', ' City King or Twin Room ', ' Stayed 2 nights ']",585 day,51.5104624,-0.0795502,No Negative  Breakfast was awesome Great location and room was really cosy Highly recommended
18 Avenue De Suffren Entr e au 22 rue Jean Rey 15th arr 75015 Paris France,428,4/10/2016,8.6,Pullman Paris Tour Eiffel, United Kingdom ,0,2764,14,1,9.6,"[' Leisure trip ', ' Couple ', ' Submitted from a mobile device ']",480 day,48.8555664,2.2926243,No Negative  The rooms facilities where excellent view was fantastic bed massive and comfy 
26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom,328,10/13/2016,7.5,Mayflower Hotel Apartments, Norway ,25,2197,4,2,7.5,"[' Business trip ', ' Solo traveler ', ' Small Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",294 day,51.4916677,-0.1947475, To much noice from adjacent rooms Hard bed No reading light above bed Safety deposit box didn t work Average and boring breakfast   Nice location 
10 rue Lamartine 9th arr 75009 Paris France,42,6/7/2016,8.8,Les Plumes Hotel, United Kingdom ,0,514,6,7,9.2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ']",422 day,48.8766269,2.3432886,No Negative  Interesting theme of Victor Hugo
70 avenue des Champs Elysees 8th arr 75008 Paris France,86,4/30/2017,7.9,Paris Marriott Champs Elysees Hotel, United Arab Emirates ,3,372,3,14,8.3,"[' Family with young children ', ' Deluxe Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",95 days,48.8711365,2.3050482, No things  Good location
Roger De Lluria 21 Esq Gran Via 662 Eixample 08037 Barcelona Spain,90,3/21/2017,7.9,Petit Palace Barcelona, Romania ,8,1148,4,4,7.5,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room 1 2 Adults ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",135 day,41.3909816,2.1714938, Double bed its not real double   wi fi location
Stadhouderskade 25 Oud Zuid 1071 ZD Amsterdam Netherlands,297,10/2/2015,8.3,Park Hotel, United States of America ,5,2027,3,1,9.2,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 3 nights ']",671 day,52.3613814,4.8832594, entry foyer not beautiful  Breakfast buffet
Prins Hendrikkade 33 Amsterdam City Center 1012 TM Amsterdam Netherlands,482,9/26/2016,9.0,art otel Amsterdam, United Kingdom ,0,3158,15,1,10.0,"[' Leisure trip ', ' Couple ', ' Art King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",311 day,52.377743,4.897057,No Negative  Very clean great location and the staff were fantastic and very friendly and helpful
Spuistraat 175 Amsterdam City Center 1012 VN Amsterdam Netherlands,152,10/25/2016,8.4,W Amsterdam, United Arab Emirates ,6,802,3,7,8.8,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 4 nights ']",282 day,52.3727871,4.8900059, Not flexible regarding check out  Everything else
Damrak 1 5 Amsterdam City Center 1012 LG Amsterdam Netherlands,973,6/20/2017,8.0,Park Plaza Victoria Amsterdam, United Kingdom ,12,4820,3,1,5.0,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",44 days,52.377278,4.897818, Refurbishment ongoing Smell in tbe corridors if the old building   Location 
4 Bryanston St Marble Arch Westminster Borough London W1H 7BY United Kingdom,255,4/24/2016,8.1,DoubleTree by Hilton Hotel London Marble Arch, Philippines ,2,1290,8,1,9.2,"[' Leisure trip ', ' Family with young children ', ' King Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",466 day,51.514573,-0.15666, None  Service is very good at all times
Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,3/25/2017,7.8,Holiday Inn London Kensington, United Kingdom ,20,5945,7,1,7.5,"[' Leisure trip ', ' Group ', ' Standard Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",131 day,51.499981,-0.1928791, Charge for swimming pool not acceptable Lifts rather small for the amount of people staying at the hotel   Comfortable beds Good breakfast good location
10 Wardour Street Leicester Square Westminster Borough London W1D 6QF United Kingdom,255,3/13/2017,8.4,W London Leicester Square, United Kingdom ,2,863,13,10,8.3,"[' Leisure trip ', ' Group ', ' Wonderful Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",143 day,51.510843,-0.1314287, nothing  as usual the bed was so comfy beautiful modern room excellant location
